player_id,signup_date,total_deposits,total_wagered,win_loss_ratio,days_since_last_bet,preferred_sport,avg_odds,churn_label,marketing_group
1000,2024-06-05,4611.16,5320.12,0.8943051979615793,14,Cricket,7.08,0,Control
1001,2025-07-15,3151.22,2756.85,0.8064984276877898,8,Football,1.3,0,Control
1002,2025-11-29,4980.26,4409.3,0.976949072513687,14,Tennis,4.31,0,Control
1003,2025-08-31,599.36,629.81,0.6592790903119097,14,Tennis,3.34,0,Control
1004,2025-08-25,190.72,196.29,0.9861180755903098,13,Football,5.38,0,Test
1005,2024-10-22,1803.57,1576.59,0.5287390415589287,23,Cricket,4.27,0,Test
1006,2025-03-12,1542.97,1515.42,0.4189499335463589,21,Tennis,7.3,0,Control
1007,2025-02-16,2477.48,2387.86,0.937242613563184,5,Greyhounds,3.49,0,Test
1008,2025-06-05,1164.92,1274.48,0.612793063553525,4,Cricket,4.44,0,Test
1009,2025-01-29,3595.58,3036.09,0.8347411144928526,13,Football,3.6,0,Test
1010,2025-01-18,4785.67,4771.99,0.9129547055114212,3,Greyhounds,1.69,0,Test
1011,2024-10-18,4369.78,4078.97,0.8620795911009074,1,Greyhounds,6.09,0,Control
1012,2025-10-12,4410.18,4028.59,0.6225917585226166,11,Tennis,5.83,0,Test
1013,2025-06-18,186.65,155.94,0.7179869770115217,4,Football,6.23,0,Control
1014,2025-01-07,3163.46,3536.93,0.7964134382105873,12,Cricket,7.31,0,Control
1015,2024-03-27,347.49,374.99,0.5189853299597182,56,Greyhounds,3.1,1,Test
1016,2024-03-30,3826.17,3455.69,0.6930057626090111,4,Cricket,1.86,0,Test
1017,2024-02-07,2782.97,2482.33,0.6299214680817259,12,Cricket,7.14,0,Test
1018,2024-12-24,2961.13,3006.18,0.4605216798737571,43,Greyhounds,9.53,1,Control
1019,2024-05-28,3544.88,3604.28,0.4426208417169431,27,Football,2.12,0,Test
1020,2025-10-14,2738.99,3283.7,0.9273679796758632,10,Horse Racing,4.78,0,Control
1021,2024-10-09,2948.87,3046.11,1.093844540875737,1,Horse Racing,6.63,0,Control
1022,2025-02-03,4172.72,4068.94,0.8820643874836983,13,Horse Racing,6.5,0,Control
1023,2024-02-08,3751.16,3201.53,0.7496547559910498,8,Horse Racing,9.27,0,Control
1024,2024-03-29,1742.07,1731.84,0.9158398306224728,7,Football,1.88,0,Control
1025,2025-06-22,712.73,829.88,0.5874994544671952,39,Greyhounds,9.01,1,Control
1026,2025-07-07,3815.47,4263.97,0.8835548202888217,4,Tennis,1.41,0,Test
1027,2025-07-09,1009.18,1114.83,0.7020551273499873,12,Greyhounds,4.62,0,Test
1028,2024-04-18,4597.93,4682.33,0.5210269658324906,48,Cricket,4.6,1,Test
1029,2025-08-22,288.17,278.24,1.0236867575901152,10,Cricket,7.67,0,Control
1030,2025-01-11,4020.48,4539.33,0.6232342746175613,11,Greyhounds,7.34,0,Test
1031,2024-01-28,4490.23,4966.5,1.083439748075174,13,Tennis,5.87,0,Test
1032,2024-11-23,704.14,802.12,0.8665831941397911,4,Cricket,7.24,0,Control
1033,2024-01-27,3754.45,3876.24,1.0991093030863657,4,Tennis,6.06,0,Test
1034,2024-01-21,66.03,53.96,0.4331151588609684,48,Football,7.3,1,Control
1035,2024-05-04,4063.91,4621.89,0.6604619182511801,13,Football,8.86,0,Test
1036,2024-09-30,4506.59,4814.28,0.8711330585808177,4,Greyhounds,9.82,0,Control
1037,2025-04-28,3799.13,4250.03,0.433616510388003,59,Football,8.21,1,Test
1038,2025-05-25,4574.3,5129.7,0.4529357556447906,28,Cricket,1.11,0,Test
1039,2024-07-19,892.26,851.05,0.7888222249991657,7,Horse Racing,2.38,0,Test
1040,2024-10-30,3657.67,3575.5,0.5813998401363658,20,Greyhounds,1.71,0,Test
1041,2024-02-14,193.85,171.4,1.0047757514745217,8,Tennis,9.2,0,Control
1042,2024-02-22,1805.66,1507.57,0.799803947606276,12,Cricket,2.81,0,Test
1043,2024-02-21,4526.4,4939.54,1.0793359381756948,2,Horse Racing,5.51,0,Control
1044,2024-01-11,4558.51,4358.71,0.7232258783498392,6,Football,7.77,0,Test
1045,2024-04-27,1093.08,1235.51,0.5935348650569435,51,Tennis,1.82,1,Test
1046,2025-06-09,1158.13,999.96,1.0017857431669723,11,Tennis,4.73,0,Test
1047,2025-07-15,4837.81,3877.61,0.4075837497581019,56,Greyhounds,3.7,1,Test
1048,2025-03-10,3721.75,4361.47,0.6141301442314571,5,Football,1.11,0,Test
1049,2024-12-12,101.61,117.89,0.9168671764322658,15,Tennis,4.34,0,Test
1050,2025-01-30,1072.24,1096.72,0.758736617523059,9,Tennis,7.94,0,Test
1051,2025-01-25,4976.3,4016.23,0.5117277557111669,52,Greyhounds,9.54,1,Control
1052,2024-10-09,1246.42,1399.78,0.5653131401883611,47,Football,2.06,1,Control
1053,2025-06-09,248.45,297.37,0.9308551494932475,12,Horse Racing,1.81,0,Test
1054,2025-10-09,1912.3,1733.26,0.6861961093062201,7,Tennis,2.04,0,Control
1055,2024-02-18,4203.67,4307.27,0.4495585764127208,54,Greyhounds,8.27,1,Control
1056,2025-01-15,85.12,76.11,0.5433892071318538,57,Greyhounds,2.81,1,Test
1057,2024-03-23,2496.26,2043.13,0.9749143628144218,12,Horse Racing,8.42,0,Control
1058,2024-06-21,4969.56,4299.16,1.0216940309591958,5,Football,4.46,0,Control
1059,2024-08-26,940.56,895.06,1.0265855069874037,3,Horse Racing,4.66,0,Test
1060,2025-06-28,2739.15,2511.48,0.7338825507338447,10,Greyhounds,5.15,0,Control
1061,2024-08-13,1523.92,1528.09,0.846594493216124,13,Greyhounds,3.35,0,Control
1062,2024-05-12,3244.73,3013.62,1.0598215323732842,9,Cricket,1.85,0,Control
1063,2025-02-01,4374.17,5061.69,0.9487354956762396,2,Cricket,8.9,0,Test
1064,2024-08-26,2455.27,2501.21,0.4429695345213879,23,Greyhounds,3.7,0,Test
1065,2025-11-14,4369.0,5219.68,0.9973413676621408,13,Horse Racing,1.51,0,Control
1066,2024-12-23,1133.58,1133.85,0.4012421282277623,54,Horse Racing,1.88,1,Test
1067,2025-09-16,1492.56,1249.47,1.000569277171064,1,Greyhounds,3.57,0,Test
1068,2024-09-30,1287.49,1354.67,0.5524866511180173,50,Football,4.3,1,Test
1069,2025-05-24,583.34,521.99,0.59971303903945,27,Football,1.93,0,Control
1070,2024-11-10,4596.47,3948.53,1.0784277682093002,14,Cricket,7.42,0,Test
1071,2024-08-29,1251.65,1370.24,0.9058884523794816,7,Greyhounds,5.31,0,Control
1072,2024-06-08,2192.93,2589.66,0.6629891222185093,4,Football,5.45,0,Control
1073,2024-04-27,3607.19,3154.92,0.842643837758125,10,Greyhounds,1.86,0,Control
1074,2024-10-06,4470.87,5341.75,0.6372550350675721,5,Football,8.92,0,Control
1075,2025-02-07,2842.06,2842.73,0.4954178953208282,24,Football,9.76,0,Control
1076,2024-12-12,2720.48,2727.42,0.812185388085227,1,Greyhounds,5.33,0,Test
1077,2024-08-30,2194.89,2117.29,0.7943414817902632,6,Horse Racing,3.91,0,Control
1078,2024-01-31,2932.86,2874.32,0.4312803038204667,52,Football,2.35,1,Test
1079,2025-06-16,3210.37,3090.08,0.7489360858458043,10,Tennis,4.81,0,Test
1080,2025-04-06,3660.92,4093.97,1.051898574005607,4,Football,8.61,0,Test
1081,2025-07-04,2156.82,2578.03,0.4151884960915341,28,Cricket,2.85,0,Control
1082,2024-11-02,1288.91,1216.81,1.043429957425582,6,Horse Racing,9.24,0,Control
1083,2024-09-04,1520.99,1777.97,0.9389277376842956,13,Football,8.71,0,Test
1084,2025-11-14,1004.84,884.6,0.8214707812181679,11,Horse Racing,3.39,0,Test
1085,2024-10-12,4892.78,5571.52,0.4818655885128672,36,Tennis,9.54,1,Control
1086,2024-09-25,143.92,125.5,0.6584233363146996,5,Football,7.08,0,Control
1087,2024-03-09,3471.82,3280.48,0.7495300744031692,6,Football,2.68,0,Control
1088,2025-02-01,861.38,919.52,0.7634985190826957,14,Greyhounds,7.86,0,Test
1089,2025-06-14,1948.63,2169.79,0.7194683816094744,7,Greyhounds,2.78,0,Control
1090,2024-10-31,2625.4,3063.2,0.4385035552003101,36,Football,8.04,1,Test
1091,2024-05-24,4441.1,3735.61,0.8377514451285586,12,Greyhounds,7.9,0,Test
1092,2024-09-04,1809.55,1826.89,1.0977466706858974,12,Football,9.88,0,Test
1093,2024-07-16,2751.31,2933.45,0.996477741921219,13,Cricket,7.9,0,Test
1094,2025-03-22,4051.54,3710.22,0.6966254031838099,2,Cricket,3.12,0,Control
1095,2024-09-03,4160.61,3477.3,0.7117708335439622,7,Greyhounds,5.53,0,Control
1096,2025-03-23,1447.45,1349.81,0.9659844858854124,12,Cricket,3.75,0,Test
1097,2024-03-02,2224.98,2312.46,0.4969766813993054,37,Football,1.21,1,Test
1098,2024-01-24,2952.56,2440.19,0.8152402615973603,9,Cricket,5.15,0,Control
1099,2025-03-09,1144.88,1119.74,0.4747584352166257,36,Tennis,7.6,1,Control
1100,2025-09-22,3961.94,3847.47,0.483691285849449,48,Greyhounds,2.47,1,Test
1101,2025-10-12,1241.08,1039.64,0.9686175905105971,6,Football,5.94,0,Test
1102,2024-07-21,4741.15,5142.26,0.5186399351464592,44,Tennis,2.01,1,Test
1103,2025-08-29,1299.46,1515.69,0.5432681075045387,35,Greyhounds,1.4,1,Test
1104,2025-11-05,2020.69,1680.46,0.6067217346515792,10,Greyhounds,4.34,0,Test
1105,2024-08-22,4337.42,4471.02,0.7122553208770408,9,Greyhounds,8.85,0,Control
1106,2024-12-15,4080.76,4035.48,0.7465956331505437,5,Tennis,9.62,0,Test
1107,2024-04-18,1625.28,1801.5,0.5516189907945185,51,Football,5.22,1,Test
1108,2024-12-15,3413.04,3120.89,0.5004021001413037,37,Football,8.47,1,Control
1109,2024-04-11,4092.39,4422.43,0.7930793254006436,2,Horse Racing,8.07,0,Test
1110,2024-01-27,177.58,167.69,0.4862078565862236,41,Cricket,2.16,1,Control
1111,2024-05-08,16.11,15.11,0.4538289323355075,29,Football,7.45,0,Control
1112,2025-07-08,4086.53,4359.44,1.0188019382072435,2,Tennis,3.16,0,Control
1113,2025-03-18,3372.7,3165.98,0.5816806247194821,60,Tennis,9.56,1,Control
1114,2024-07-23,814.72,653.21,0.6170496804105269,1,Tennis,7.38,0,Test
1115,2025-06-08,3749.7,4134.8,0.7827902386308332,11,Cricket,1.7,0,Test
1116,2025-07-08,97.02,102.01,0.6388177958510328,5,Greyhounds,7.47,0,Test
1117,2024-07-14,2059.89,1883.4,0.6063678099465257,15,Cricket,2.19,0,Test
1118,2024-11-24,3597.07,4169.89,0.8742249780004941,4,Football,9.67,0,Test
1119,2025-02-13,4137.76,4782.37,1.0426580593616612,12,Horse Racing,5.15,0,Control
